meeting_date,body,case,title
2021-04-14,Planning Commission Work Session,PCWS21-073,Resolution for Continuity of Government. Comprehensive plan amendment subcommittee work session - Environment & Sustainability and Parks & Recreation
2021-03-31,Planning Commission Work Session,PCWS21-072,Joint Town Council Conference Session - Planning Commission Work Session on CODE CREATE VIENNA Public Engagement Update
2021-03-31,Planning Commission Work Session,21-2170,Resolution for Continuity of Government
2021-03-24,Planning Commission Work Session,PCWS21-071,Resolution for Continuity of Government. Comprehensive plan amendment subcommittee work session - Transportation & Community Facilities
2021-03-24,Planning Commission Work Session,PCWS21-070,Resolution for Continuity of Government. Comprehensive plan amendment subcommittee work session - Environment & Sustainability and Parks & Recreation
2021-03-18,Board of Architectural Review,BAR21-225,301 Maple Ave W - Sign
2021-03-18,Board of Architectural Review,BAR21-224,172 Maple Ave W - Sign
2021-03-18,Board of Architectural Review,BAR21-223,112 Lawyers Rd NW - Sign
2021-03-18,Board of Architectural Review,BAR21-222,300 Glyndon St NE - Exterior Modification
2021-03-18,Board of Architectural Review,BAR21-221,100 Maple Ave E - Exterior Modifications
2021-03-18,Board of Architectural Review,BAR21-220,416 Council Dr NE - Fence
2021-03-18,Board of Architectural Review,BAR21-219,201 Park St SE - Cadence on Park
2021-03-18,Board of Architectural Review,BAR21-218,332 Maple Ave E - Burke & Herbert Bank
2021-03-18,Board of Architectural Review,BAR21-217,"Board of Architectural Review - Continuity of Government - March 18, 2021"
2021-03-17,Board of Zoning Appeals,BZA-21050,332 Maple Ave E - Request for a Conditional Use Permit
2021-03-17,Board of Zoning Appeals,BZA-21049,414 Council Dr NE - Request for a Variance
2021-03-17,Board of Zoning Appeals,BZA-21048,"BZA Resolution for Continuity of Government - March 17, 2021"
2021-03-10,Planning Commission Work Session,PCWS21-069,Resolution for Continuity of Government. Comprehensive plan amendment subcommittee work session - Land Use & Economic Development
2021-03-10,Planning Commission Work Session,PCWS21-068,Resolution for Continuity of Government. Comprehensive plan amendment subcommittee work session - Transportation & Community Facilities
2021-03-05,Board of Architectural Review Work Session,BARWS21-038,201 Park St SE - Cadence on Park
2021-03-02,Windover Heights Board of Review,21-2091,"Request for a Certificate of Appropriateness for installation of a new fence on the property located at 212 West St. NW, Docket No.WHBR-01-21, in the RS-16, single-family detached residential zoning district; filed by Lynn Stattel, property owner."
2021-03-02,Windover Heights Board of Review,21-2090,Resolution for Continuity of Government
2021-02-25,Board of Architectural Review,BAR21-215,201 Park St SE - Cadence on Park - Exterior Modification
2021-02-25,Board of Architectural Review,BAR21-214,415 Church St NE - Carient Heart & Vascular - Exterior Modificaiton
2021-02-25,Board of Architectural Review,BAR21-213,332 Maple Ave E - Burke & Herbert Bank - Exterior Modification
2021-02-25,Board of Architectural Review,BAR21-212,Resolution for Continuity of Government - Board of Architectural Review
2021-02-18,Board of Architectural Review,BAR21-215,201 Park St SE - Cadence on Park - Exterior Modification
2021-02-18,Board of Architectural Review,BAR21-214,415 Church St NE - Carient Heart & Vascular - Exterior Modificaiton
2021-02-18,Board of Architectural Review,BAR21-213,332 Maple Ave E - Burke & Herbert Bank - Exterior Modification
2021-02-18,Board of Architectural Review,BAR21-212,Resolution for Continuity of Government - Board of Architectural Review
2021-02-10,Planning Commission Work Session,PCWS21-067,Comprehensive Plan Amendment Subcommittee Work Session - Land Use & Economic Development Discussion
2021-02-10,Planning Commission Work Session,PCWS21-066,Comprehensive Plan Amendment - Transportation & Community Facilities subcommittee discussion
2021-02-10,Planning Commission Work Session,PCWS21-064,Resolution for Continuity of Government. Comprehensive plan amendment subcommittee work session - Land Use & Economic Development
2021-02-10,Planning Commission Work Session,PCWS21-063,Resolution for Continuity of Government. Comprehensive plan amendment subcommittee work session - Transportation & Community Facilities
2021-02-10,Planning Commission,PC21-135,Resolution for Continuity of Government.
2021-02-10,Planning Commission,PC21-134,"Recommendation to the Board of Zoning Appeals for a conditional use permit for a drive-through facility for Burke & Herbert Bank & Trust on property located at 332 Maple Avenue East, in the C-1A Special Commercial zone."
2021-02-03,Planning Commission Work Session,PCWS21-062,Resolution for Continuity of Government
2021-02-03,Planning Commission Work Session,PCWS21-061,Planning Commission Work Session on CODE CREATE VIENNA Non-Residential Zones + Districts
2021-01-28,Board of Zoning Appeals,BZA-21046,"Code Create, Vienna proposed residential standards for code update, discussion with Board Members"
2021-01-28,Board of Zoning Appeals,BZA-21045,Resolution of Continuity of Government - Board of Zoning Appeals
2021-01-21,Board of Architectural Review,BAR21-211,BAR - Resolution for Continuity of Government
2021-01-21,Board of Architectural Review,BAR21-210,"COde Create, Vienna proposed residential standards for code update, discussion with Board Members"
2021-01-21,Board of Architectural Review,BAR21-209,332 Maple Ave E - Burke & Herbert Bank - Exterior Modification
2021-01-21,Board of Architectural Review,BAR21-208,115 Park St SE - Vienna Family Medicine - Sign
2021-01-21,Board of Architectural Review,BAR21-207,107 Follin Ln SE - Vienna Village - Fence
2021-01-13,Planning Commission,PC21-127,"Public hearing on proposed text amendments to Temporary Sign Regulations in Article 19 of Chapter 18 of the Town Code, Sections 18-175, 18-177, 18-178, 18-185, Planning Commission recommendation to Town Council"
2021-01-13,Planning Commission,PC21-126,Resolution for Continuity of Government
2021-01-13,Planning Commission,PC21-125,Kick-off for Review of Town of Vienna Comprehensive Plan
2021-01-13,Planning Commission,PC21-124,Consideration of draft 2020 annual report
2021-01-13,Planning Commission,PC20-122,"Public hearing on proposed text amendments to add Family Day Home provisions to Chapter 18 of the Town Code, Sections 18-4, 18-13, 18-210, Planning Commission recommendation to Town Council"
2021-01-13,Planning Commission,PC20-119,"Public hearing on proposed text amendment to Sidewalk Ordinance, Section 17-67.2 of Chapter 17 of the Town Code, Planning Commission recommendation to Town Council"
2020-12-17,Board of Architectural Review,BAR20-206,Board of Architectural Review - Resolution Continuity of Government
2020-12-17,Board of Architectural Review,BAR20-205,435 Maple Ave W - Hawk & Griffin - Exterior Modification and Sign
2020-12-17,Board of Architectural Review,BAR20-204,415  Windover Ave NW - Green Hedges - Fence
2020-12-17,Board of Architectural Review,BAR20-203,308 Maple Ave E - TD Bank - Signs
2020-12-17,Board of Architectural Review,BAR20-202,120 Cherry St SW - VPAC - Mural
2020-12-17,Board of Architectural Review,BAR20-201,235 Maple Ave W - Bank of America - Signs
2020-12-09,Planning Commission Work Session,PCWS20-055,Work Session on proposed amendment of the zoning ordinance to specify Family Day Home as a permitted use.
2020-12-09,Planning Commission Work Session,PCWS20-054,"Work session on proposed revision to sidewalk ordinance, Section 17-67.2"
2020-12-09,Planning Commission Work Session,PCWS20-053,Resolution for Continuity of Government
2020-12-09,Planning Commission Work Session,21-2047,Work session on proposed amendments to temporary sign regulations
2020-12-03,Planning Commission Work Session,PCWS20-052,Resolution for Continuity of Government
2020-12-03,Planning Commission Work Session,PCWS20-051,Planning Commission Work Session on CODE CREATE VIENNA
2020-11-19,Board of Architectural Review,BAR20-200,100 East St SE - Repair and Replacement of Retaining Wall
2020-11-19,Board of Architectural Review,BAR20-199,198 Park Terrace Ct SE - Park Terrace Condominiums - Fence
2020-11-19,Board of Architectural Review,BAR20-198,413 Tapawingo Rd SW - Vienna Water Tank - Telecommunication Antennas
2020-11-19,Board of Architectural Review,BAR20-197,800 Maple Ave E - Westwood Country Club - Exterior Modifications
2020-11-19,Board of Architectural Review,BAR20-196,515 Maple Ave E - SunTrust/BB&T Bank - Sign
2020-11-19,Board of Architectural Review,BAR20-195,256 Maple Ave E - T-Mobile - Sign
2020-11-19,Board of Architectural Review,BAR20-194,120 Cherry St SE - Caffi Field - VPAC Mural
2020-11-19,Board of Architectural Review,BAR20-193,159 Maple Ave W - Cruz ‘n’ Shine Car Wash - Sign and Exterior Modification
2020-11-19,Board of Architectural Review,BAR20-192,BAR - Resolution -Continuity of Government
2020-11-18,Board of Zoning Appeals,BZA-20044,435 Maple Ave W - Request for approval of a conditional use permit from Section 18-211 of the Vienna Town Code for outdoor dining and live entertainment
2020-11-18,Board of Zoning Appeals,BZA-20043,244 Hillside Circle SW - Request for approval of a variance from Sections §18-15.C & §18-15.E of the Vienna Town Code in order to construct an addition and screened porch beyond the required front and rear yard setback lines
2020-11-18,Board of Zoning Appeals,BZA-20042,"Resolution - Continuity of Government - November 18, 2020"
2020-11-04,Planning Commission,PC20-118,Resolution for Continuity of Government
2020-11-04,Planning Commission,PC20-117,"Recommendation by the Planning Commission to the Town Council for modifications of requirement related to required lot coverage, front yard setback and side yard setback in the RM-2 Multifamily, Low Density zoning district, for the property located at 201 Park Street Southeast. Application filed by John Sekas of Sekas Homes, Ltd."
2020-11-04,Planning Commission,PC20-116,"Recommendation to the Town Council on a final plat for the Parkwood Oaks subdivision of 601 Marshall Road SW and 1011 Ware Street SW into Six lots on property located in the RS-16, Single-Family Detached Residential zone."
2020-11-04,Planning Commission,PC20-115,"Recommendation to the Town Council on a final plat for the subdivision of 117-121 Courthouse Road SW into three lots on property located in the RS-10, Single-Family Detached Residential zone."
2020-11-04,Planning Commission,PC20-115,"Recommendation to the Town Council on a final plat for the subdivision of 117-121 Courthouse Road SW into three lots on property located in the RS-10, Single-Family Detached Residential zone."
2020-10-21,Board of Zoning Appeals,BZA-20041,"301 Center St S. - Request approval of a conditional use permit from Section 18-31, and by reference Section 18-13, of the Vienna Town Code to permit temporary use of existing building for police department staff during construction of new police station"
2020-10-21,Board of Zoning Appeals,BZA-20040,"Resolution - Continuity of Government - October 21, 2020"
2020-10-15,Board of Architectural Review,BAR20-191,159 Maple Ave W - Cruz’n’Shine - Exterior Modification and Signs
2020-10-15,Board of Architectural Review,BAR20-190,319 Mill St NE - Velocity Dance - Mural
2020-10-15,Board of Architectural Review,BAR20-189,527 Maple Ave E - T-Mobile - Exterior Modification
2020-10-15,Board of Architectural Review,BAR20-188,235 Maple Ave W - Bank of America - Signs
2020-10-15,Board of Architectural Review,BAR20-187,260-280 Cedar Ln SE - Cedar Park Shopping Center Revision
2020-10-15,Board of Architectural Review,BAR20-186,Resolution - Continuity of Government
2020-10-14,Planning Commission,PC20-114,Resolution for Continuity of Government
2020-10-14,Planning Commission,PC20-113,"Recommendation by the Planning Commission to the Board of Zoning Appeals on request for conditional use permits for live entertainment and outdoor dining for Hawk & Griffin Public House, located at 435 Maple Avenue West in the C-1 zone.
AND
Recommendation by the Planning Commission to the Town Council for modifications of requirement related to required minimum number of parking spaces associated with restaurant use and minimum tree canopy coverage in the C-1 Local Commercial zoning district, for the property located at 435 Maple Avenue West."
2020-10-14,Planning Commission,PC20-112,"Public hearing for review by the Planning Commission to find that the proposed public use of an existing building, located at 301 Center Street South in the RS-10 Single-Family Detached 
Residential zoning district, is substantially in accord with the Town of Vienna Comprehensive Plan, as required by Section 15.2-2232 of the Code of Virginia"
2020-10-14,Planning Commission,PC20-111,Recommendation to the Board of Zoning Appeals for a conditional use permit to permit temporary use of existing building at 301 Center Street South for police department staff during construction of new police station
